name,name1,street1,street2,city,state,zip,zip4,county,phone,intake_prompt,intake1,intake2,website,lat,lon,type_facility,mh,psy,rtcc,rtca,ores,ph,omh,cmhc,msmh,ipt,cft,gt,cbt,dbt,bmt,idd,tt,at,ect,tele,smon,smpd,smop,hi,res,phdt,op,vamc,sma,osg,lmg,tbg,ih,sf,md,mc,si,pi,mi,smha,swfs,scjj,sef,osf,clf,csbg,cmhg,vaf,cit,wi,ss,pa,ah,sp,co,gl,vet,adm,mf,cj,se,hv,trma,sed,smi,alz,ptsd,tbi,tay,ped,act,icm,cm,cdm,peer,coot,dec,es,fpsy,hs,imr,ipc,lad,nrt,nsc,prs,stu,sps,semp,sh,tpc,tcc,vrs,chld,yad,adlt,snr,itu,pvtp,pvtn,fqhc,vo,sumh,ccbhc,chlor,drope,fluph,halop,loxap,perph,pimoz,proch,thiot,thior,trifl,aripi,asena,brexp,carip,cloza,ilope,luras,olanz,olanzf,palip,queti,rispe,zipra,crt,emdr,kit,tms,peon,peoff,fg,pcf,dv,pefp,hivt,shb,shc,stdt,tbs,aot,ptm,msnh,f17,f19,f25,f28,f30,f31,f35,f36,f37,f4,f42,f43,f47,f66,f67,f70,f81,f92,n13,n18,n23,n24,n40
Hillsides,STRTP and NPS,940 Avenue 64,,Pasadena,CA,91105,2711,Los Angeles,323-254-2274,Intake,323-274-3075,,http://www.hillsides.org,34.1244844,-118.1758621,MH,1,,1,,,,,,,1,1,1,,,1,1,1,1,,,1,,,,1,,,,,,,,,1,1,,,1,,1,1,,1,,1,,,,1,,,,,1,,1,,,,,,,1,1,,,1,,,,,1,1,,,1,,1,,,,,1,,,1,1,1,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,1,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hathaway/Sycamores Child/Family Servs,Community Servs,5100 South Eastern Avenue,Suite 110,Los Angeles,CA,90040,,Los Angeles,323-837-0838,Intakes,844-222-2377,626-395-7100,http://Hathaway-Sycamores.org,33.9887043,-118.1604996,MH,1,,,,,,,1,,1,1,,1,,1,1,1,,,1,,1,,,,,1,,,,,,,,1,1,,,,1,1,1,1,1,1,,1,,1,,,,1,1,1,,,,,1,,,1,1,,,1,,,,,1,1,,1,1,,,1,,,,,,,,1,1,,,,,,1,1,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penny Lane Centers,,5628 East Slauson Avenue,,Los Angeles,CA,90040,,Los Angeles,323-887-1917,Intake,323-318-9960,,http://www.pennylane.org,33.985546,-118.163804,MH,1,,,,,,1,,,1,1,1,,,,1,1,,,,1,,,,,,1,,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,1,1,,,,,,,,,1,,,1,,,,,,1,,,1,,,,,,,,,,1,,,,,1,,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Didi Hirsch Mental Health Services,S Mark Taper Foundation Center,1328 West Manchester Avenue,,Los Angeles,CA,90044,,Los Angeles,323-778-9593,Intake,,888-807-7250,http://www.didihirsch.org,33.95962,-118.2992751,MH,1,,,,,,1,,,1,1,1,1,1,1,1,1,,,1,1,,,,,,1,,,,,,,1,1,1,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,1,1,,1,,,,1,1,1,1,,,,,1,1,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific Clinics,Pasadena Family Services,66 Hurlbut Street,,Pasadena,CA,91105,,Los Angeles,626-441-4221,Intake,877-722-2737,,http://www.pacificclinics.org,34.129707,-118.151742,MH,1,,,,,,,1,,1,1,1,1,,,1,1,,,1,,1,,,,,1,,,,,,,,1,1,,,,1,,,,,1,,,,,,,,1,1,1,,,,,,1,,,1,1,,,,1,,,1,1,,1,,,,1,1,1,,,,,1,1,1,,,,1,1,1,1,1,1,,,1,,,1,,,,,,,,,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Center for Discovery,Beverly Hills,8484 Wilshire Boulevard,Suite 510,Beverly Hills,CA,90211,,Los Angeles,844-546-2614,,,,http://centerfordiscovery.com/locations/beverly-hills-outpatient/,34.064733,-118.3756728,MH,1,,,,,1,,,,1,1,1,1,1,1,1,1,1,,,,1,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,1,,,1,,,,1,,1,,,,,,,,,,,,,,,1,1,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huntington Hospital,Della Martin Center,100 West California Boulevard,,Pasadena,CA,91105,,Los Angeles,626-397-2300,Intake,626-397-2323,,http://www.huntingtonhospital.com,34.1325954,-118.1525463,MH,1,1,,,,,,,,,,1,,1,,,,1,,1,1,,,1,,1,1,,,,,,,1,1,1,1,1,,,,,,,,,,,1,1,,,1,,1,,,,,,1,,,,1,,,,,,,,1,,,1,1,,1,,,,,1,1,,1,,,,,1,,,1,1,1,,,1,,,,,1,,1,1,,,,1,1,1,1,1,,,,1,1,,1,,1,,1,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Didi Hirsch Mental Health Services,Jump Street,1233 South La Cienega Boulevard,,Los Angeles,CA,90035,2520,Los Angeles,310-855-0031,Intake,310-895-2343,,http://www.didihirsch.org,34.054749,-118.376557,MH,1,,,1,,,,,,1,1,1,1,1,1,1,1,1,,1,,1,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,,,1,,,,1,1,1,1,,1,,1,,1,,,,1,,1,,1,1,1,1,1,,,1,1,1,,1,1,1,,1,1,,1,1,,,,1,,,1,,1,,,1,,,,,,,,1,,,,1,1,1,1,,,1,1,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcott Center for Mental Health Servs,,1433 South Robertson Boulevard,,Los Angeles,CA,90035,3414,Los Angeles,310-785-2121,,,,http://www.alcottcenter.org,34.0537438,-118.3841878,MH,1,,,,,,,1,,1,1,1,1,1,1,1,1,1,,1,,1,,,,,1,,,,,,,,1,1,,,,1,,,,,1,,,,,,,1,,1,1,,,,,1,1,,,,1,,,,,,,1,1,,,,,,1,1,,1,,,,1,1,1,,1,,,,,1,1,1,,,1,,,1,,1,,1,1,,,,,,,1,1,1,,,1,,1,1,1,1,1,1,1,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Jewish Family Service of Los Angeles,Pico Robertson Family Resource Ctr,8838 West Pico Boulevard,,Los Angeles,CA,90035,,Los Angeles,310-247-0864 x218,Intakes,877-275-4537,310-247-0534,http://www.jfsla.org,34.0547214,-118.3847711,MH,1,,,,,,1,,,1,1,1,1,,,,1,,,1,,,1,,,,1,,,,,,,1,1,1,1,1,,1,,,,,1,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,1,1,,,,,,1,,,,,,,1,,1,,,,,,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,
Didi Hirsch Mental Health Services,Inglewood Center,323 North Prairie Avenue,Suite 450,Inglewood,CA,90301,,Los Angeles,310-677-7808 x2158,Intake,310-390-8896,,http://didihirsch.org,33.9663825,-118.3442772,MH,1,,,,,,1,,,1,1,1,1,,1,,1,,,,1,,,,,,1,,,,,,,1,1,1,,,,1,,,,1,1,,,,1,,,,,1,,,,,,,,,1,1,,,1,,,,,,1,,,1,,,1,,,,,,,1,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Gabriel Valley Medical Center,Behavioral Medicine Unit,438 West Las Tunas Drive,,San Gabriel,CA,91776,,Los Angeles,626-300-7300,,,,http://www.sgvmc.com/,34.100917,-118.1055926,MH,1,1,,,,,,,,1,,1,,,,,,1,,,1,,,1,,,,,,,,,,,1,1,,1,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
CAST Centers,,630 North Doheny Drive,,West Hollywood,CA,90069,,Los Angeles,310-873-3935,Intake,866-283-9885,,http://www.castcenters.com,34.0820416,-118.3895426,MH,1,,,,,1,,,,1,1,1,1,1,,1,,1,,,,1,,,,1,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uplift Family Services,,3680 East Imperial Highway,Suite 220,Lynwood,CA,90262,,Los Angeles,323-769-7174,Intake,323-769-7171,,http://www.upliftfs.org/,33.9318538,-118.2009874,MH,1,,,,,,1,,,1,1,,1,,1,,1,1,,1,1,,,,,,1,,,,,,,,1,,1,1,,1,,,,,1,,,,1,,,,1,1,,,,,,,,,1,1,,,1,,,,,,1,,1,,,,1,,,,,,,1,,,,,,,,1,1,1,,,,1,,,,,,,,1,,,,,,,,1,,,,1,,1,1,,1,1,1,1,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aviva Family and Childrens Services,,3680 East Imperial Highway,Suite 520,Lynwood,CA,90262,,Los Angeles,323-876-0550,,,,http://www.aviva.org/,33.9318538,-118.2009874,MH,1,,,,,,1,,,1,1,1,1,,1,,1,,,,,1,,,,,1,,,,,,,1,1,,1,1,,1,1,,,,,1,1,,1,,1,1,,1,,1,,,,,,,1,1,,,1,,1,,,,1,,,,,,1,,,,,,,1,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Insight Treatment Programs,,769 North Orange Grove Boulevard,,Pasadena,CA,91103,,Los Angeles,800-599-8820,Intake,,818-501-3512,http://www.insighttreatment.com,34.1564572,-118.1540736,MH,1,,,,,,1,,,1,1,1,1,1,1,1,1,1,,1,1,,,,,1,1,,,,,,,1,,,,1,1,,,,1,,,,,,1,,,,,,1,1,,,1,,,,1,1,,,1,,1,1,1,1,1,,1,1,,1,1,,1,,,,,1,1,1,,,,,,1,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drew Child Development Corporation,,3737 Martin Luther King Jr Boulevard,Suite 550,Lynwood,CA,90262,,Los Angeles,323-249-2950 x2940,Intakes,323-249-2950 x1220,323-249-2950 x2760,http://www.drewcdc.org,33.9288026,-118.2002791,MH,1,,,,,,1,,,1,1,1,1,,,,1,,,,1,,,,,,1,,,,,,,,1,1,,,,,,,,,1,,1,,1,1,,,,1,,,,,,,1,,1,1,,,1,,1,,,,1,,,1,,,1,,,,,,,1,,1,,,,,,1,1,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Southern California Hlth/Rehab Prg,,2620 Industry Way,,Lynwood,CA,90262,4024,Los Angeles,310-627-4566 x2713,,,,http://www.scharpca.org,33.9233014,-118.2258901,MH,1,,,,,,1,,,1,1,1,1,,1,1,1,,,1,1,,,,,,1,,,,,,,1,1,1,1,,,,1,,,,1,,,,,,1,,,1,1,,,,,,,,1,1,1,,1,,1,,,1,1,,,1,,,1,1,,,,,,1,1,1,1,1,,1,,1,1,1,1,,,1,,,1,,,,1,1,,,,,,,,1,,1,1,,,1,1,1,1,1,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuller Psychological and Family Serv,,180 North Oakland Avenue,,Pasadena,CA,91101,,Los Angeles,626-584-5555,,,,http://www.fuller.edu/fpfs/,34.1491846,-118.1394556,MH,1,,,,,,1,,,1,1,1,1,,1,,1,,,1,1,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,
Southern California Hosp/Culver City,,3828 Delmas Terrace,,Culver City,CA,90232,,Los Angeles,310-836-7000 x6611,Intake,800-565-0558,,http://,34.0232001,-118.3969128,MH,1,1,,,,,,,,1,,1,1,1,,1,1,1,,1,,1,,1,,,1,,,,,,,1,1,1,1,1,,1,,,,,,,,,,1,,,1,,1,,,,,,1,,,,1,,,,,,1,1,1,1,1,,1,1,,1,,1,1,1,1,1,1,1,,1,,1,,,1,1,1,,1,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,,,,,1,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Five Acres Boys and Girls Aid Soc of,Los Angeles County,867 North Fair Oaks Avenue,,Pasadena,CA,91103,,Los Angeles,626-798-6793,Intake,626-798-6793 x4711,,http://www.5acres.org/community-based-services/,34.1608849,-118.1508967,MH,1,,,,,,1,,,1,1,,1,,1,,1,1,,1,1,,,,,,1,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,1,1,,1,,,,,,,1,1,,,,,1,,,,1,,,,,,1,,,,,,,1,,1,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Didi Hirsch Mental Health Services,Excelsior House,1007 Myrtle Avenue,,Inglewood,CA,90301,4009,Los Angeles,310-412-4191,Intakes,310-895-2343,310-855-0031,http://www.didihirsch.org/,33.9506527,-118.3497789,MH,1,,,1,,,,,,1,1,1,1,1,1,1,1,1,,1,,1,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,1,,,,1,,,,1,1,1,1,,1,,1,,1,,,,1,,1,,1,1,1,1,1,,,1,1,1,,1,1,1,,1,1,,1,1,,,,1,,,1,,1,,,1,,,,,,,,1,,,,1,1,1,1,,,1,1,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Heritage Clinic,,447 North El Molino Avenue,,Pasadena,CA,91101,1403,Los Angeles,626-577-8480,Intake,626-577-8480 x0,,http://www.heritageclinic.org,34.1536282,-118.1372917,MH,1,,,,,,1,,,1,1,1,1,1,1,1,1,,,1,,1,,,,,1,,,,,,,1,1,1,,1,,,,,,,1,,,,,,,,,1,,,,,,1,1,,,,1,1,,,,,,1,1,,,1,,,1,1,,,,,,1,,1,,1,,,,,,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
View Heights Convalescent Hospital,,12619 Avalon Boulevard,,Los Angeles,CA,90061,,Los Angeles,323-757-1881,,,,http://www.viewheights.com,33.918282,-118.265647,MH,1,1,,,,,,,,1,,1,1,1,1,1,1,1,,,,1,,1,,,,,,,,,,1,1,1,1,1,,1,,,,,1,,,1,,,,,,1,1,,1,,,,,,1,,1,,,,,,1,,,1,,,1,,1,,1,1,,,,1,,1,,1,,,,,1,1,,,1,,,,1,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counseling4Kids,,601 South Glenoaks Boulevard,Suite 200,Burbank,CA,91502,,Los Angeles,818-441-7800,,,,http://www.counseling4kids.org,34.179083,-118.3013075,MH,1,,,,,,,1,,1,1,1,1,1,1,1,1,,,1,,1,,,,,1,,,,,,,1,1,,,,,,1,,,,1,,,,,,,,,1,1,,,,,,,,1,1,,,1,,,,,,1,,,1,,,1,,,,,,,1,,,,,,,,1,1,,,,,1,,,1,,1,,,,,,,,,,,1,,1,1,1,,1,1,1,,1,1,1,,,,,,,,,,1,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,
Hathaway/Sycamores Child/Family Servs,Oakland Campus,851 North Oakland Avenue,,Pasadena,CA,91104,,Los Angeles,626-685-2197,Intakes,844-222-2377,626-395-7100,http://Hathaway-Sycamores.org,34.1602695,-118.140749,MH,1,,,,,,,1,,1,1,,1,,1,1,1,,,1,,1,,,,,1,,,,,,,,1,1,,,,1,1,1,1,1,1,1,1,,1,,,,1,1,1,,,,,1,,,1,,1,,1,,1,,,1,1,,1,1,,,1,,,,,,,,1,1,,1,,,1,1,1,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Comprehensive Psychiatric Services,,6167 Bristol Parkway,Suite 260,Culver City,CA,90230,,Los Angeles,424-331-5604,,,,http://,33.9849916,-118.390842,MH,1,,,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,,,,,,,1,,1,,1,1,,,,,,,,,1,,1,1,,,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,,1,,,,,1,,,,,,,,,,,1,1,,,,,,1,1,1,1,,1,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,,,,,,,,,,,1,,,1,1,1,1,,,1,1,,1,,,,,1,1,1,,,,,,
Vista Del Mar Child and Family Servs,Residential Services,3200 Motor Avenue,,Los Angeles,CA,90034,,Los Angeles,310-836-1223,Intake,310-836-1223 x750,,http://www.vistadelmar.org,34.0314858,-118.4104719,MH,1,,1,,,,,,,1,1,1,1,1,1,,1,1,,,1,,,,1,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,1,1,1,,,,,,,1,,1,1,,,,1,1,,,,1,,1,,,1,,,,,,,,,,,,,1,,,,1,,1,1,1,1,1,1,1,,,,,,,1,1,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Vista Del Mar Outpatient Center,,3200 Motor Avenue,,Los Angeles,CA,90034,,Los Angeles,310-836-1223 x500,,,,http://www.vistadelmar.org,34.0314722,-118.4104764,MH,1,,,,,,1,,,1,1,1,1,,,,1,,,1,1,,,,,,1,,,,,,,1,,1,,1,,1,1,,,,1,,,,,,1,,,1,,,,,,,,,1,1,,,1,,1,,,,1,,,,,,1,,,,,,,1,,,,,,,,1,1,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Didi Hirsch Mental Health Services,Headquarters,4760 Sepulveda Boulevard,,Culver City,CA,90230,,Los Angeles,310-390-6612,Intakes,310-390-8896,888-807-7250,http://www.didihirsch.org/,34.001581,-118.403787,MH,1,,,,,,1,,,1,1,1,1,1,1,1,1,1,,1,1,,,,,,1,,,,,,,1,1,1,,,,,,,,,,,,,1,,1,1,1,1,1,,,,,,1,,1,,1,,1,,1,,,1,1,,1,1,1,1,1,1,1,1,,,,1,1,1,1,,,1,1,1,1,1,1,,,1,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Ketamine Clinics of Los Angeles,,6801 Park Terrace,Suite 525,Los Angeles,CA,90045,1543,Los Angeles,310-270-0625,,,,http://www.ketamineclinics.com,33.9776679,-118.3930786,MH,1,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,1,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starview Community Services and,Teammates,9040 Telstar Avenue,Suites 101 and 102,El Monte,CA,91731,,Los Angeles,626-774-5809,Intake,888-535-3288,,http://www.starsinc.com,34.0684642,-118.0697433,MH,1,,,,,,1,,,1,1,1,1,,1,,1,,,1,,1,,,,,1,,,,,,,,1,,,,,,1,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,1,,,,,,,,1,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHC Alhambra Hospital,,4619 North Rosemead Boulevard,,Rosemead,CA,91770,1478,Los Angeles,626-286-1191,Intake,626-286-1191 x268,,http://www.bhcalhambra.com,34.088669,-118.073856,MH,1,1,,,,,,,,,,1,1,1,1,1,1,1,,1,,1,,1,1,1,1,,,,,,,1,1,1,,1,1,,,,,,,,,1,1,1,,,1,,,,,,,,,,,1,1,,,,,1,,1,1,1,,1,,,,,1,,,,,1,,1,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport Marina Counseling Services,,7891 La Tijera Boulevard,,Los Angeles,CA,90045,3145,Los Angeles,310-670-1410 x101,Intake,310-670-1410,,http://www.airportmarina.org,33.965452,-118.385675,MH,1,,,,,,1,,,1,1,1,1,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,1,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comprehensive Psychiatric Services,,2335 East Colorado Boulevard,Suite 115-327,Pasadena,CA,91107,,Los Angeles,833-277-0071,,,,http://,34.1464484,-118.1026207,MH,1,,,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,,,,,,,1,,1,,1,1,,,,,,,,,1,,1,1,,,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,,1,,,,,1,,,,,,,,,,,1,1,,,,,,1,1,1,1,,1,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,,,,,,,,,,,1,,,1,1,1,1,,,1,1,,1,,,,,1,1,1,,,,,,
Pacific Clinics,Asian Pacific Family Center,9353 East Valley Boulevard,,Rosemead,CA,91770,,Los Angeles,626-287-2988,,,,http://www.pacificclinics.org,34.0816653,-118.0651244,MH,1,,,,,,,1,,1,1,1,1,,,1,1,1,,1,,1,,,,,1,,,,,,,,1,1,1,,,1,1,1,,,1,1,,,1,,,1,,,,,,,,,1,,,1,1,,,,1,,1,1,1,,1,1,,,1,1,1,1,,,,1,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,1,,,,,
Verdugo Hills Hospital,Stepping Stones Inpatient Program,1812 Verdugo Boulevard,,Glendale,CA,91208,,Los Angeles,818-952-2270,,,,http://www.uscvhh.org,34.2045351,-118.216049,MH,1,1,,,,,,,,1,,1,,,1,1,1,1,,1,1,,,1,,,,,,,,,,1,,1,,1,,,,,,,,,,,1,1,,,1,1,,1,1,,1,,1,1,1,,,1,1,1,,,,,,,,1,1,,1,,,1,1,1,,,1,1,,,,1,,,,,1,,1,,,,1,,1,,,1,,,,,,,,1,,,,,,1,1,,,1,1,1,,,,,1,1,,1,,1,,,,,,,,,,,1,,,,,,,1,,1,1,,,1,1,,,,,,
Verdugo Hills Hospital,Stepping Stones Outpatient Services,1812 Verdugo Boulevard,Suite 420,Glendale,CA,91208,,Los Angeles,818-949-4011,Intakes,818-790-7100,818-952-2270,http://uscvhh.org,34.2045351,-118.216049,MH,1,,,,,1,,,,1,,1,1,1,,1,1,,,1,1,,,,,1,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,1,1,,1,1,,1,,1,,1,,,1,,1,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific Asian Counseling Services,,8616 La Tijera Boulevard,Suite 200,Los Angeles,CA,90045,,Los Angeles,310-337-1550,Intake,310-337-1550 x2016,,http://www.pacsla.org,33.95917,-118.391574,MH,1,,,,,,1,,,1,1,,1,,1,1,1,1,,1,,,1,,,,1,,,,,,,,,,1,,,1,,,,1,1,1,1,,1,,,,,1,1,,,,,1,1,,,1,1,,1,,1,,,1,1,,1,1,,1,1,1,,,,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,,,1,,,,,,,1,,,,,,1,,,,1,,,1,1,1,1,1,,,,,,,1,,1,,,,,,,,1,,,1,,,,,,,,,1,,1,1,,,,1,1,,,,,
Aurora Las Encinas Hospital,,2900 East Del Mar Boulevard,,Pasadena,CA,91107,,Los Angeles,626-356-2650,Intakes,800-792-2345,626-795-9901,http://www.lasencinashospital.com,34.140786,-118.09133,MH,1,1,,,,,,,,1,1,1,1,,1,1,1,1,,1,,1,,1,,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,,1,1,,1,,1,,,1,1,1,,,1,1,1,,,,,1,1,1,1,1,,,,1,,1,1,1,1,1,1,,,,1,,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,,,,,1,1,,,1,1,1,1,1,1,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,
Pacific Clinics,Child and Fam Specialty Services Div,2550 East Foothill Boulevard,2nd Floor,Pasadena,CA,91107,,Los Angeles,626-744-5230 x2404,Intake,626-744-5230,,http://,34.1496063,-118.097957,MH,1,,,,,,1,,,1,1,1,1,,1,1,1,,,1,1,,,,,,1,,,,,,,,1,1,1,,,1,1,1,,1,1,,,,1,,,1,1,1,1,,,,,,,,1,1,,,1,,1,,,1,1,,,1,,,1,1,,,,,,1,,1,,,,,,1,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Prototypes Program of HealthRIGHT 360,Outpatient Behavioral Health Treatment,2650 East Foothill Boulevard,,Pasadena,CA,91107,,Los Angeles,626-577-2261,Intakes,909-634-2950,626-577-2163,http://www.prototypes.org,34.149613,-118.0956708,MH,1,,,,,,,1,,1,1,1,1,1,1,1,1,1,,1,1,,,,,,1,,,,,,,,1,,,,,1,,,,,1,,,,1,,,1,,1,1,1,,,,,,,1,1,1,,,,,,,1,1,,1,1,,,1,,,,,,,1,1,1,,,,,1,1,1,1,1,,,1,,,1,,,1,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
