name1,street1,city,zip,county,phone,intake_prompt,website,latitude,longitude,mh,psy,rtcc,rtca,ores,ph,omh,cmhc,msmh,ipt,cft,gt,cbt,dbt,bmt,idd,tt,at,ect,tele,smon,smpd,smop,hi,res,phdt,op,vamc,sma,osg,lmg,tbg,ih,sf,md,mc,si,pi,mi,smha,swfs,scjj,sef,osf,clf,csbg,cmhg,vaf,cit,wi,ss,pa,ah,sp,co,gl,vet,adm,mf,cj,se,hv,trma,sed,smi,alz,ptsd,tbi,tay,ped,act,icm,cm,cdm,peer,coot,dec,es,fpsy,hs,imr,ipc,lad,nrt,nsc,prs,stu,sps,semp,sh,tpc,tcc,vrs,chld,yad,adlt,snr,itu,pvtp,pvtn,fqhc,vo,sumh,ccbhc,chlor,drope,fluph,halop,loxap,perph,pimoz,proch,thiot,thior,trifl,aripi,asena,brexp,carip,cloza,ilope,luras,olanz,olanzf,palip,queti,rispe,zipra,crt,emdr,kit,tms,peon,peoff,fg,pcf,dv,pefp,hivt,shb,shc,stdt,tbs,aot,ptm,msnh,f17,f19,f25,f28,f30,f31,f35,f36,f37,f4,f42,f43,f47,f66,f67,f70,f81,f92,n13,n18,n23,n24,n40
Pacific Clinics,66 Hurlbut Street,Pasadena,91105,Los Angeles,626-441-4221,Intake,http://www.pacificclinics.org,34.129707,-118.151742,1,,,,,,,1,,1,1,1,1,,,1,1,,,1,,1,,,,,1,,,,,,,,1,1,,,,1,,,,,1,,,,,,,,1,1,1,,,,,,1,,,1,1,,,,1,,,1,1,,1,,,,1,1,1,,,,,1,1,1,,,,1,1,1,1,1,1,,,1,,,1,,,,,,,,,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Center for Discovery,8484 Wilshire Boulevard,Beverly Hills,90211,Los Angeles,844-546-2614,,http://centerfordiscovery.com/locations/beverly-hills-outpatient/,34.064733,-118.3756728,1,,,,,1,,,,1,1,1,1,1,1,1,1,1,,,,1,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,1,,,1,,,,1,,1,,,,,,,,,,,,,,,1,1,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huntington Hospital,100 West California Boulevard,Pasadena,91105,Los Angeles,626-397-2300,Intake,http://www.huntingtonhospital.com,34.1325954,-118.1525463,1,1,,,,,,,,,,1,,1,,,,1,,1,1,,,1,,1,1,,,,,,,1,1,1,1,1,,,,,,,,,,,1,1,,,1,,1,,,,,,1,,,,1,,,,,,,,1,,,1,1,,1,,,,,1,1,,1,,,,,1,,,1,1,1,,,1,,,,,1,,1,1,,,,1,1,1,1,1,,,,1,1,,1,,1,,1,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Didi Hirsch Mental Health Services,1233 South La Cienega Boulevard,Los Angeles,90035,Los Angeles,310-855-0031,Intake,http://www.didihirsch.org,34.054749,-118.376557,1,,,1,,,,,,1,1,1,1,1,1,1,1,1,,1,,1,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,,,1,,,,1,1,1,1,,1,,1,,1,,,,1,,1,,1,1,1,1,1,,,1,1,1,,1,1,1,,1,1,,1,1,,,,1,,,1,,1,,,1,,,,,,,,1,,,,1,1,1,1,,,1,1,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcott Center for Mental Health Servs,1433 South Robertson Boulevard,Los Angeles,90035,Los Angeles,310-785-2121,,http://www.alcottcenter.org,34.0537438,-118.3841878,1,,,,,,,1,,1,1,1,1,1,1,1,1,1,,1,,1,,,,,1,,,,,,,,1,1,,,,1,,,,,1,,,,,,,1,,1,1,,,,,1,1,,,,1,,,,,,,1,1,,,,,,1,1,,1,,,,1,1,1,,1,,,,,1,1,1,,,1,,,1,,1,,1,1,,,,,,,1,1,1,,,1,,1,1,1,1,1,1,1,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Jewish Family Service of Los Angeles,8838 West Pico Boulevard,Los Angeles,90035,Los Angeles,310-247-0864 x218,Intakes,http://www.jfsla.org,34.0547214,-118.3847711,1,,,,,,1,,,1,1,1,1,,,,1,,,1,,,1,,,,1,,,,,,,1,1,1,1,1,,1,,,,,1,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,1,1,,,,,,1,,,,,,,1,,1,,,,,,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,
Didi Hirsch Mental Health Services,323 North Prairie Avenue,Inglewood,90301,Los Angeles,310-677-7808 x2158,Intake,http://didihirsch.org,33.9663825,-118.3442772,1,,,,,,1,,,1,1,1,1,,1,,1,,,,1,,,,,,1,,,,,,,1,1,1,,,,1,,,,1,1,,,,1,,,,,1,,,,,,,,,1,1,,,1,,,,,,1,,,1,,,1,,,,,,,1,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Gabriel Valley Medical Center,438 West Las Tunas Drive,San Gabriel,91776,Los Angeles,626-300-7300,,http://www.sgvmc.com/,34.100917,-118.1055926,1,1,,,,,,,,1,,1,,,,,,1,,,1,,,1,,,,,,,,,,,1,1,,1,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
CAST Centers,630 North Doheny Drive,West Hollywood,90069,Los Angeles,310-873-3935,Intake,http://www.castcenters.com,34.0820416,-118.3895426,1,,,,,1,,,,1,1,1,1,1,,1,,1,,,,1,,,,1,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uplift Family Services,3680 East Imperial Highway,Lynwood,90262,Los Angeles,323-769-7174,Intake,http://www.upliftfs.org/,33.9318538,-118.2009874,1,,,,,,1,,,1,1,,1,,1,,1,1,,1,1,,,,,,1,,,,,,,,1,,1,1,,1,,,,,1,,,,1,,,,1,1,,,,,,,,,1,1,,,1,,,,,,1,,1,,,,1,,,,,,,1,,,,,,,,1,1,1,,,,1,,,,,,,,1,,,,,,,,1,,,,1,,1,1,,1,1,1,1,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aviva Family and Childrens Services,3680 East Imperial Highway,Lynwood,90262,Los Angeles,323-876-0550,,http://www.aviva.org/,33.9318538,-118.2009874,1,,,,,,1,,,1,1,1,1,,1,,1,,,,,1,,,,,1,,,,,,,1,1,,1,1,,1,1,,,,,1,1,,1,,1,1,,1,,1,,,,,,,1,1,,,1,,1,,,,1,,,,,,1,,,,,,,1,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Insight Treatment Programs,769 North Orange Grove Boulevard,Pasadena,91103,Los Angeles,800-599-8820,Intake,http://www.insighttreatment.com,34.1564572,-118.1540736,1,,,,,,1,,,1,1,1,1,1,1,1,1,1,,1,1,,,,,1,1,,,,,,,1,,,,1,1,,,,1,,,,,,1,,,,,,1,1,,,1,,,,1,1,,,1,,1,1,1,1,1,,1,1,,1,1,,1,,,,,1,1,1,,,,,,1,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drew Child Development Corporation,3737 Martin Luther King Jr Boulevard,Lynwood,90262,Los Angeles,323-249-2950 x2940,Intakes,http://www.drewcdc.org,33.9288026,-118.2002791,1,,,,,,1,,,1,1,1,1,,,,1,,,,1,,,,,,1,,,,,,,,1,1,,,,,,,,,1,,1,,1,1,,,,1,,,,,,,1,,1,1,,,1,,1,,,,1,,,1,,,1,,,,,,,1,,1,,,,,,1,1,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Southern California Hlth/Rehab Prg,2620 Industry Way,Lynwood,90262,Los Angeles,310-627-4566 x2713,,http://www.scharpca.org,33.9233014,-118.2258901,1,,,,,,1,,,1,1,1,1,,1,1,1,,,1,1,,,,,,1,,,,,,,1,1,1,1,,,,1,,,,1,,,,,,1,,,1,1,,,,,,,,1,1,1,,1,,1,,,1,1,,,1,,,1,1,,,,,,1,1,1,1,1,,1,,1,1,1,1,,,1,,,1,,,,1,1,,,,,,,,1,,1,1,,,1,1,1,1,1,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuller Psychological and Family Serv,180 North Oakland Avenue,Pasadena,91101,Los Angeles,626-584-5555,,http://www.fuller.edu/fpfs/,34.1491846,-118.1394556,1,,,,,,1,,,1,1,1,1,,1,,1,,,1,1,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,
Southern California Hosp/Culver City,3828 Delmas Terrace,Culver City,90232,Los Angeles,310-836-7000 x6611,Intake,http://,34.0232001,-118.3969128,1,1,,,,,,,,1,,1,1,1,,1,1,1,,1,,1,,1,,,1,,,,,,,1,1,1,1,1,,1,,,,,,,,,,1,,,1,,1,,,,,,1,,,,1,,,,,,1,1,1,1,1,,1,1,,1,,1,1,1,1,1,1,1,,1,,1,,,1,1,1,,1,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,,,,,1,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Five Acres Boys and Girls Aid Soc of,867 North Fair Oaks Avenue,Pasadena,91103,Los Angeles,626-798-6793,Intake,http://www.5acres.org/community-based-services/,34.1608849,-118.1508967,1,,,,,,1,,,1,1,,1,,1,,1,1,,1,1,,,,,,1,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,1,1,,1,,,,,,,1,1,,,,,1,,,,1,,,,,,1,,,,,,,1,,1,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Didi Hirsch Mental Health Services,1007 Myrtle Avenue,Inglewood,90301,Los Angeles,310-412-4191,Intakes,http://www.didihirsch.org/,33.9506527,-118.3497789,1,,,1,,,,,,1,1,1,1,1,1,1,1,1,,1,,1,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,1,,,,1,,,,1,1,1,1,,1,,1,,1,,,,1,,1,,1,1,1,1,1,,,1,1,1,,1,1,1,,1,1,,1,1,,,,1,,,1,,1,,,1,,,,,,,,1,,,,1,1,1,1,,,1,1,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Heritage Clinic,447 North El Molino Avenue,Pasadena,91101,Los Angeles,626-577-8480,Intake,http://www.heritageclinic.org,34.1536282,-118.1372917,1,,,,,,1,,,1,1,1,1,1,1,1,1,,,1,,1,,,,,1,,,,,,,1,1,1,,1,,,,,,,1,,,,,,,,,1,,,,,,1,1,,,,1,1,,,,,,1,1,,,1,,,1,1,,,,,,1,,1,,1,,,,,,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
View Heights Convalescent Hospital,12619 Avalon Boulevard,Los Angeles,90061,Los Angeles,323-757-1881,,http://www.viewheights.com,33.918282,-118.265647,1,1,,,,,,,,1,,1,1,1,1,1,1,1,,,,1,,1,,,,,,,,,,1,1,1,1,1,,1,,,,,1,,,1,,,,,,1,1,,1,,,,,,1,,1,,,,,,1,,,1,,,1,,1,,1,1,,,,1,,1,,1,,,,,1,1,,,1,,,,1,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counseling4Kids,601 South Glenoaks Boulevard,Burbank,91502,Los Angeles,818-441-7800,,http://www.counseling4kids.org,34.179083,-118.3013075,1,,,,,,,1,,1,1,1,1,1,1,1,1,,,1,,1,,,,,1,,,,,,,1,1,,,,,,1,,,,1,,,,,,,,,1,1,,,,,,,,1,1,,,1,,,,,,1,,,1,,,1,,,,,,,1,,,,,,,,1,1,,,,,1,,,1,,1,,,,,,,,,,,1,,1,1,1,,1,1,1,,1,1,1,,,,,,,,,,1,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,
Hathaway/Sycamores Child/Family Servs,851 North Oakland Avenue,Pasadena,91104,Los Angeles,626-685-2197,Intakes,http://Hathaway-Sycamores.org,34.1602695,-118.140749,1,,,,,,,1,,1,1,,1,,1,1,1,,,1,,1,,,,,1,,,,,,,,1,1,,,,1,1,1,1,1,1,1,1,,1,,,,1,1,1,,,,,1,,,1,,1,,1,,1,,,1,1,,1,1,,,1,,,,,,,,1,1,,1,,,1,1,1,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Comprehensive Psychiatric Services,6167 Bristol Parkway,Culver City,90230,Los Angeles,424-331-5604,,http://,33.9849916,-118.390842,1,,,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,,,,,,,1,,1,,1,1,,,,,,,,,1,,1,1,,,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,,1,,,,,1,,,,,,,,,,,1,1,,,,,,1,1,1,1,,1,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,,,,,,,,,,,1,,,1,1,1,1,,,1,1,,1,,,,,1,1,1,,,,,,
Vista Del Mar Child and Family Servs,3200 Motor Avenue,Los Angeles,90034,Los Angeles,310-836-1223,Intake,http://www.vistadelmar.org,34.0314858,-118.4104719,1,,1,,,,,,,1,1,1,1,1,1,,1,1,,,1,,,,1,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,1,1,1,,,,,,,1,,1,1,,,,1,1,,,,1,,1,,,1,,,,,,,,,,,,,1,,,,1,,1,1,1,1,1,1,1,,,,,,,1,1,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Vista Del Mar Outpatient Center,3200 Motor Avenue,Los Angeles,90034,Los Angeles,310-836-1223 x500,,http://www.vistadelmar.org,34.0314722,-118.4104764,1,,,,,,1,,,1,1,1,1,,,,1,,,1,1,,,,,,1,,,,,,,1,,1,,1,,1,1,,,,1,,,,,,1,,,1,,,,,,,,,1,1,,,1,,1,,,,1,,,,,,1,,,,,,,1,,,,,,,,1,1,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Didi Hirsch Mental Health Services,4760 Sepulveda Boulevard,Culver City,90230,Los Angeles,310-390-6612,Intakes,http://www.didihirsch.org/,34.001581,-118.403787,1,,,,,,1,,,1,1,1,1,1,1,1,1,1,,1,1,,,,,,1,,,,,,,1,1,1,,,,,,,,,,,,,1,,1,1,1,1,1,,,,,,1,,1,,1,,1,,1,,,1,1,,1,1,1,1,1,1,1,1,,,,1,1,1,1,,,1,1,1,1,1,1,,,1,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Ketamine Clinics of Los Angeles,6801 Park Terrace,Los Angeles,90045,Los Angeles,310-270-0625,,http://www.ketamineclinics.com,33.9776679,-118.3930786,1,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,1,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starview Community Services and,9040 Telstar Avenue,El Monte,91731,Los Angeles,626-774-5809,Intake,http://www.starsinc.com,34.0684642,-118.0697433,1,,,,,,1,,,1,1,1,1,,1,,1,,,1,,1,,,,,1,,,,,,,,1,,,,,,1,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,1,,,,,,,,1,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHC Alhambra Hospital,4619 North Rosemead Boulevard,Rosemead,91770,Los Angeles,626-286-1191,Intake,http://www.bhcalhambra.com,34.088669,-118.073856,1,1,,,,,,,,,,1,1,1,1,1,1,1,,1,,1,,1,1,1,1,,,,,,,1,1,1,,1,1,,,,,,,,,1,1,1,,,1,,,,,,,,,,,1,1,,,,,1,,1,1,1,,1,,,,,1,,,,,1,,1,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport Marina Counseling Services,7891 La Tijera Boulevard,Los Angeles,90045,Los Angeles,310-670-1410 x101,Intake,http://www.airportmarina.org,33.965452,-118.385675,1,,,,,,1,,,1,1,1,1,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,1,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comprehensive Psychiatric Services,2335 East Colorado Boulevard,Pasadena,91107,Los Angeles,833-277-0071,,http://,34.1464484,-118.1026207,1,,,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,,,,,,,1,,1,,1,1,,,,,,,,,1,,1,1,,,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,,1,,,,,1,,,,,,,,,,,1,1,,,,,,1,1,1,1,,1,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,,,,,,,,,,,1,,,1,1,1,1,,,1,1,,1,,,,,1,1,1,,,,,,
Pacific Clinics,9353 East Valley Boulevard,Rosemead,91770,Los Angeles,626-287-2988,,http://www.pacificclinics.org,34.0816653,-118.0651244,1,,,,,,,1,,1,1,1,1,,,1,1,1,,1,,1,,,,,1,,,,,,,,1,1,1,,,1,1,1,,,1,1,,,1,,,1,,,,,,,,,1,,,1,1,,,,1,,1,1,1,,1,1,,,1,1,1,1,,,,1,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,1,,,,,
Verdugo Hills Hospital,1812 Verdugo Boulevard,Glendale,91208,Los Angeles,818-952-2270,,http://www.uscvhh.org,34.2045351,-118.216049,1,1,,,,,,,,1,,1,,,1,1,1,1,,1,1,,,1,,,,,,,,,,1,,1,,1,,,,,,,,,,,1,1,,,1,1,,1,1,,1,,1,1,1,,,1,1,1,,,,,,,,1,1,,1,,,1,1,1,,,1,1,,,,1,,,,,1,,1,,,,1,,1,,,1,,,,,,,,1,,,,,,1,1,,,1,1,1,,,,,1,1,,1,,1,,,,,,,,,,,1,,,,,,,1,,1,1,,,1,1,,,,,,
Verdugo Hills Hospital,1812 Verdugo Boulevard,Glendale,91208,Los Angeles,818-949-4011,Intakes,http://uscvhh.org,34.2045351,-118.216049,1,,,,,1,,,,1,,1,1,1,,1,1,,,1,1,,,,,1,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,1,1,,1,1,,1,,1,,1,,,1,,1,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific Asian Counseling Services,8616 La Tijera Boulevard,Los Angeles,90045,Los Angeles,310-337-1550,Intake,http://www.pacsla.org,33.95917,-118.391574,1,,,,,,1,,,1,1,,1,,1,1,1,1,,1,,,1,,,,1,,,,,,,,,,1,,,1,,,,1,1,1,1,,1,,,,,1,1,,,,,1,1,,,1,1,,1,,1,,,1,1,,1,1,,1,1,1,,,,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,,,1,,,,,,,1,,,,,,1,,,,1,,,1,1,1,1,1,,,,,,,1,,1,,,,,,,,1,,,1,,,,,,,,,1,,1,1,,,,1,1,,,,,
Aurora Las Encinas Hospital,2900 East Del Mar Boulevard,Pasadena,91107,Los Angeles,626-356-2650,Intakes,http://www.lasencinashospital.com,34.140786,-118.09133,1,1,,,,,,,,1,1,1,1,,1,1,1,1,,1,,1,,1,,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,,1,1,,1,,1,,,1,1,1,,,1,1,1,,,,,1,1,1,1,1,,,,1,,1,1,1,1,1,1,,,,1,,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,,,,,1,1,,,1,1,1,1,1,1,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,
Pacific Clinics,2550 East Foothill Boulevard,Pasadena,91107,Los Angeles,626-744-5230 x2404,Intake,http://,34.1496063,-118.097957,1,,,,,,1,,,1,1,1,1,,1,1,1,,,1,1,,,,,,1,,,,,,,,1,1,1,,,1,1,1,,1,1,,,,1,,,1,1,1,1,,,,,,,,1,1,,,1,,1,,,1,1,,,1,,,1,1,,,,,,1,,1,,,,,,1,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Prototypes Program of HealthRIGHT 360,2650 East Foothill Boulevard,Pasadena,91107,Los Angeles,626-577-2261,Intakes,http://www.prototypes.org,34.149613,-118.0956708,1,,,,,,,1,,1,1,1,1,1,1,1,1,1,,1,1,,,,,,1,,,,,,,,1,,,,,1,,,,,1,,,,1,,,1,,1,1,1,,,,,,,1,1,1,,,,,,,1,1,,1,1,,,1,,,,,,,1,1,1,,,,,1,1,1,1,1,,,1,,,1,,,1,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Coastal Asian Pacific Islander Family,14112 South Kingsley Drive,Gardena,90249,Los Angeles,310-217-7312,,http://dmh.lacounty.gov/,33.9029285,-118.3039273,1,,,,,,1,,,1,,1,1,,1,1,1,1,,1,1,,,,,,1,,,,1,,,1,1,1,,,,1,,,,,1,,,,1,,1,1,,1,1,,,,,1,1,,1,1,1,,1,,1,1,,,1,,1,1,1,,1,,,,,,,1,,1,1,1,,,1,1,1,1,1,,,,,,1,,,,,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,1,,,,,,,,,,1,,,1,,,,,,,1,1,,,1,1,,,,1,1,,,,,
Hathaway/Sycamores Child/Family Servs,2933 North El Nido Drive,Altadena,91001,Los Angeles,626-243-9043,Intakes,http://hathaway-sycamores.org,34.1960124,-118.1658889,1,,1,,,,,,,1,1,1,1,,1,1,1,,,1,,1,,,1,,1,,,,,,,,1,1,,,,1,1,1,1,1,1,,1,,1,,,,1,1,1,,,,,1,,,1,1,,,1,,,,,1,1,,1,1,,,1,,,,,,,,1,1,,,1,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridges to Recovery,10201 Charing Cross Road,Los Angeles,90024,Los Angeles,310-275-4620,,http://www.bridgestorecovery.com,34.079219,-118.4305523,1,,,1,,,,,,1,1,1,1,1,,1,1,1,,1,,1,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,,,,1,,1,,,1,,1,1,,1,1,,,,1,,,1,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Compton Family Mental Health Services,921 East Compton Boulevard,Compton,90221,Los Angeles,310-668-6800,,http://dmh.lacounty.gov,33.8963309,-118.2130965,1,,,,,,1,,,1,1,1,1,,1,1,1,,,1,,1,,,,,1,,,1,,,,1,1,1,,,,,,,,1,1,,,,,1,1,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,,1,,,,1,,,,,,1,1,,,,,,1,1,1,,,,,1,1,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resilience Treatment Center,10780 Santa Monica Boulevard,Los Angeles,90025,Los Angeles,800-693-9100,,http://resiliencetreatment.com,34.050292,-118.4339714,1,,,,,1,,,,1,1,1,1,1,,,,,,1,,1,,,1,1,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,,,1,,1,,,,,,1,1,1,,1,1,,,,1,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discovery Mood and Anxiety Program,9844 Pangborn Avenue,Downey,90240,Los Angeles,866-457-5205,,http://discoverymood.com/locations/downey/,33.9446129,-118.1026357,1,,1,,,,,,,1,1,1,1,1,1,1,1,1,,,1,,,,1,,,,,,,,,1,,,1,1,1,1,1,,1,1,1,,,,,,,,,,,1,,,,,,,1,1,,,1,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silicon Beach Treatment Center,8929 South Sepulveda Boulevard,Los Angeles,90045,Los Angeles,833-527-3422,,http://www.siliconbeachtx.com,33.9549428,-118.3965314,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,,1,,,,1,1,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,1,1,1,,,,,1,1,,,,1,,,1,1,1,1,,1,1,1,1,1,1,,1,,,1,1,,1,1,,,,1,,1,1,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
